title,source,url,json_content

"What is the difference between detach, clone and deepcopy in Pytorch tensors in detail?",Stack Overflow,N/A,"{""tags"": [""python"", ""machine-learning"", ""pytorch""], ""question_score"": 26, ""is_accepted"": false, ""has_accepted_answer"": false, ""answer_count"": 1, ""is_answered"": true, ""question_id"": 62437509, ""item_type"": ""question"", ""score"": 26, ""last_activity_date"": 1677499515, ""creation_date"": 1592424385, ""body"": ""I&#39;ve been struggling to understand the differences between ,  and  when using Pytorch. In particular with Pytorch tensors.\nI tried writing all my question about their differences and uses cases and became overwhelmed quickly and realized that perhaps have the 4 main properties of Pytorch tensors would clarify much better which one to use that going through every small question. The 4 main properties I realized one needs keep track are:\n\nif one has a new pointer/reference to a tensor\nif one has a new tensor object instance (and thus most likely this new instance has it&#39;s own meta-data like , shape, , etc.)\nif it has allocated a new memory for the tensor data (i.e. if this new tensor is a view of a different tensor)\nif it&#39;s tracking the history of operations or not (or even if it&#39;s tracking a completely new history of operations or the same old one in the case of deep copy)\n\nAccording to what mined out from the Pytorch forums and the documentation this is my current distinctions for each when used on tensors:\nClone\nFor clone:\n\nI believe this is how it behaves according to the main 4 properties:\n\nthe cloned  has it&#39;s own python reference/pointer to the new object\nit has created it&#39;s own new tensor object instance (with it&#39;s separate meta-data)\nit has allocated a new memory for  with the same data as \nit is keeping track of the original history of operations and in addition included this  operation as \n\nit seems that the main use of this as I understand is to create copies of things so that  operations are safe. In addition coupled with  as  (the &quot;better&quot; order to do it btw) it creates a completely new tensor that has been detached with the old history and thus stops gradient flow through that path.\nDetach\n\n\ncreates a new python reference (the only one that does not is doing  of course). One can use  for this one I believe\nit has created it&#39;s own new tensor object instance (with it&#39;s separate meta-data)\nit has NOT allocated a new memory for  with the same data as x\nit cuts the history of the gradients and does not allow it to flow through it. I think it&#39;s right to think of it as having no history, as a brand new tensor.\n\nI believe the only sensible use I know of is of creating new copies with it&#39;s own memory when coupled with  as . Otherwise, I am not sure what the use it. Since it points to the original data, doing in place ops might be potentially dangerous (since it changes the old data but the change to the old data is NOT known by autograd in the earlier computation graph).\ncopy.deepcopy\n\n\nif one has a new pointer/reference to a tensor\nit creates a new tensor instance with it&#39;s own meta-data (all of the meta-data should point to deep copies, so new objects if it&#39;s implemented as one would expect I hope).\nit has it&#39;s own memory allocated for the tensor data\nIf it truly is a deep copy, I would expect a deep copy of the history. So it should do a deep replication of the history. Though this seems really expensive but at least semantically consistent with what deep copy should be.\n\nI don&#39;t really see a use case for this. I assume anyone trying to use this really meant 1)  or just 2)  by itself, depending if one wants to stop gradient flows to the earlier graph with 1 or if they want just to replicate the data with a new memory 2).\nSo this is the best way I have to understand the differences as of now rather than ask all the different scenarios that one might use them.\nSo is this right? Does anyone see any major flaw that needs to be correct?\nMy own worry is about the semantics I gave to deep copy and wonder if it&#39;s correct wrt the deep copying the history.\nI think a list of common use cases for each would be wonderful.\n\nResources\nthese are all the resources I&#39;ve read and participated to arrive at the conclusions in this question:\n\nMigration guide to 0.4.0 https://pytorch.org/blog/pytorch-0_4_0-migration-guide/\nConfusion about using clone: https://discuss.pytorch.org/t/confusion-about-using-clone/39673/3\nClone and detach in v0.4.0: https://discuss.pytorch.org/t/clone-and-detach-in-v0-4-0/16861/2\nDocs for clone:\n\nhttps://pytorch.org/docs/stable/tensors.html#torch.Tensor.clone\n\n\nDocs for detach (search for the word detach in your browser there is no direct link):\n\nhttps://pytorch.org/docs/stable/tensors.html#torch.Tensor\n\n\nDifference between detach().clone() and clone().detach(): https://discuss.pytorch.org/t/difference-between-detach-clone-and-clone-detach/34173\nWhy am I able to change the value of a tensor without the computation graph knowing about it in Pytorch with detach? Why am I able to change the value of a tensor without the computation graph knowing about it in Pytorch with detach?\nWhat is the difference between detach, clone and deepcopy in Pytorch tensors in detail? What is the difference between detach, clone and deepcopy in Pytorch tensors in detail?\nCopy.deepcopy() vs clone() https://discuss.pytorch.org/t/copy-deepcopy-vs-clone/55022/10\n\n"", ""excerpt"": ""like require_grads, shape, is_leaf, etc.)\nif it has allocated a new memory for the <span class=\""highlight\"">tensor</span> data (i.e. if this new <span class=\""highlight\"">tensor</span> is a view of a different <span class=\""highlight\"">tensor</span>)\nif it&#39;s tracking the history of operations or not &hellip; operations and in addition included this clone operation as .grad_fn=&lt;CloneBackward&gt;\n\nit seems that the main use of this as I understand is to create copies of things so that inplace_ operations are <span class=\""highlight\"">safe</span> &hellip; "", ""title"": ""What is the difference between detach, clone and deepcopy in Pytorch tensors in detail?""}"

Add values of one tensor to another without affecting the graph,Stack Overflow,N/A,"{""tags"": [""python"", ""pytorch"", ""tensor"", ""addition"", ""backpropagation""], ""question_score"": 0, ""is_accepted"": true, ""answer_id"": 75298860, ""is_answered"": false, ""question_id"": 75291122, ""item_type"": ""answer"", ""score"": 0, ""last_activity_date"": 1675176342, ""creation_date"": 1675176342, ""body"": ""You should be able to use  to return a copy of the tensor () with . Using the inplace += operator causes errors during backpropagation (i.e. at various times during the forward pass, the same variable stored 2 different values with 2 different associated gradients, but only one set of value/ gradient is stored in that variable during the backwards pass.) I&#39;m a bit fuzzy on whether in-place operations are allowed for variables that are part of the computation graph but when the operation itself is not. You can test this to see, but to be safe I recommend:\n\nLater, if you want to do another operation using tensor2 where the gradient IS part of the computation graph, you still can do this as well.\n"", ""excerpt"": ""You should be able to use detatch() to return a copy of the <span class=\""highlight\"">tensor</span> (tensor2) with requires_grad = False. &hellip; You can test this to see, but to be <span class=\""highlight\"">safe</span> I recommend:\ntensor1[:,:,:3] =  torch.add(tensor1[:,:,:3],tensor2[:,:,:3].detach())\n\nLater, if you want to do another operation using tensor2 where the gradient &hellip; "", ""title"": ""Add values of one tensor to another without affecting the graph""}"

libtorch: Is writing to non-overlapping slices of a torch::Tensor from different threads safe when using index_put_ method?,Stack Overflow,N/A,"{""tags"": [""c++"", ""multithreading"", ""thread-safety"", ""tensor"", ""libtorch""], ""question_score"": 3, ""is_accepted"": false, ""has_accepted_answer"": false, ""answer_count"": 0, ""is_answered"": false, ""question_id"": 75086319, ""item_type"": ""question"", ""score"": 3, ""last_activity_date"": 1673455135, ""creation_date"": 1673455135, ""body"": ""I want to write to different non-overlapping slices of a  object by calling libtorch&#39;s  method from different threads concurrently, i.e. each thread writes to a different part of the tensor. Is this safe without any synchronization (i.e. mutexes)? I cannot find any related documentation.\n"", ""excerpt"": ""the <span class=\""highlight\"">tensor</span>. &hellip; Is this <span class=\""highlight\"">safe</span> without any synchronization (i.e. mutexes)? I cannot find any related documentation. &hellip; "", ""title"": ""libtorch: Is writing to non-overlapping slices of a torch::Tensor from different threads safe when using index_put_ method?""}"

RuntimeError: Input type (torch.FloatTensor) and weight type (torch.cuda.FloatTensor) should be the same,Stack Overflow,N/A,"{""tags"": [""python"", ""python-3.x"", ""machine-learning"", ""deep-learning"", ""pytorch""], ""question_score"": 185, ""is_accepted"": false, ""answer_id"": 74863152, ""is_answered"": false, ""question_id"": 59013109, ""item_type"": ""answer"", ""score"": 8, ""last_activity_date"": 1671539540, ""creation_date"": 1671539540, ""body"": ""Notice that (from pytorch documentation):\n\nIf the self Tensor already has the correct torch.dtype and torch.device, then self is returned. Otherwise, the returned tensor is a copy of self with the desired torch.dtype and torch.device.\n\nThat is, you might need to do:\n\nInstead of just:\n\nWith the first approach you&#39;ll be in the safe side.\n"", ""excerpt"": ""Otherwise, the returned <span class=\""highlight\"">tensor</span> is a copy of self with the desired torch.dtype and torch.device. &hellip; That is, you might need to do:\nmodel = model.to(&quot;cuda&quot;)\ndata = data.to(&quot;cuda&quot;)\n\nInstead of just:\nmodel.to(&quot;cuda&quot;)\ndata.to(&quot;cuda&quot;)\n\nWith the first approach you&#39;ll be in the <span class=\""highlight\"">safe</span> side. &hellip; "", ""title"": ""RuntimeError: Input type (torch.FloatTensor) and weight type (torch.cuda.FloatTensor) should be the same""}"

Efficient GC-assisted cleanup of LARGE native resources,Stack Overflow,N/A,"{""tags"": [""java"", ""garbage-collection"", ""java-native-interface""], ""question_score"": 0, ""is_accepted"": true, ""answer_id"": 74293734, ""is_answered"": false, ""question_id"": 74270156, ""item_type"": ""answer"", ""score"": 1, ""last_activity_date"": 1667411856, ""creation_date"": 1667411856, ""body"": ""I think that I have now figured out a solution that works as good as it can.\nThe problem\nIf you face a similar issue you probably have code that fits some of these criterias:\n\nA high allocation rate of small objects, which hold large native resources\nObjects referencing each other in complicated ways that is hard for the GC to untangle\nNo place in the code where you can safely determine that the resources are no longer in use\n\nRequirements for a potential solution\nYour requirements probably are:\n\nDon&#39;t bottleneck the loop that allocates the native handles\nNearly instantanious cleanup after the native handle becomes unreferenced\n\nThe tradeoff\nIt turns out you cannot accomplish both these requirements at once.\nYou unfortunately have to choose between one or the other.\nIf you don&#39;t want to bottleneck the loop that allocates these native handles at a high rate, you need to trade RAM to do that.\nIf you want instantatious cleanup after the native handle becomes unreferenced,\nyou have to sacrifice the execution speed of the code that allocates the native handles.\nThe (hacky) solution\nCreate a mechanism such that you can asynchronously request a full GC to be performed.\n\nIdeally, you have a region of code that is loosely associated with cleanup of these handle objects. It doesn&#39;t have to mean that these objects can be safely disposed at this point in time, it just has to mean that the object is &gt;probably&lt; safe to delete. This callsite merely serves a statistical metric to determine the best intervall in which to trigger the Garbage Collection.\nYou should also know the size of your native resource, or alternatively an estimate of how bad it would be to keep a given object arround.\nAlternatively you could also place this at the point of the allocation of your native handles, but note that the effectiveness of the statistical metric that you collect is less effective.\nThis is an example of such a method in my tensor processing library Sci-Core:\n\nTo fight against bottlenecking your allocation loop, you can use the following JVM arguments:\n\nWhy would this work?\nTriggering regular garbage collection seems to make the garbage collector interested in cleaning the very small handle objects (among basically every other object that you create in your application. You still don&#39;t have &quot;prioritization&quot; for your handles, they just happen to also be garbage collected. If your application in addition to the native handle objects also allocates a significant amount of other small objects, the effectiveness of this technique will be significantly reduced.\nNote however, that triggering the Garbage collector is expensive and thus the maximum value for  and  must be carefully chosen.\nRunning the garbage collector asynchronously is less expensive, as it will not bottleneck your allocation loop very much but also less effective than calling the garbage collector on the same thread the objects are allocated. So, doing both in carefully chosen intervals can probably get you a good compromise between execution speed of your allocation loop and memory footprint.\n"", ""excerpt"": ""It doesn&#39;t have to mean that these objects can be safely disposed at this point in time, it just has to mean that the object is &gt;probably&lt; <span class=\""highlight\"">safe</span> to delete. &hellip; * @param <span class=\""highlight\"">tensor</span> the <span class=\""highlight\"">tensor</span> to drop the computation history for\n     */\n    public void dropHistory(ITensor <span class=\""highlight\"">tensor</span>) {\n      // for all nodes now dropped from the graph\n      ... &hellip; "", ""title"": ""Efficient GC-assisted cleanup of LARGE native resources""}"

Using PyTorch tensors with scikit-learn,Stack Overflow,N/A,"{""tags"": [""python"", ""numpy"", ""scikit-learn"", ""pytorch"", ""tensor""], ""question_score"": 5, ""is_accepted"": false, ""has_accepted_answer"": true, ""answer_count"": 2, ""is_answered"": true, ""question_id"": 70021547, ""item_type"": ""question"", ""score"": 5, ""last_activity_date"": 1666040801, ""creation_date"": 1637245519, ""body"": ""Can I use PyTorch tensors instead of NumPy arrays while working with scikit-learn?\nI tried some methods from scikit-learn like  and , and it seems to work just fine, but is there anything I should know when I&#39;m using PyTorch tensors instead of NumPy arrays?\nAccording to this question on https://scikit-learn.org/stable/faq.html#how-can-i-load-my-own-datasets-into-a-format-usable-by-scikit-learn :\n\nnumpy arrays or scipy sparse matrices. Other types that are convertible to numeric arrays such as pandas DataFrame are also acceptable.\n\nDoes that mean using PyTorch tensors is completely safe?\n"", ""excerpt"": ""Does that mean using PyTorch tensors is completely <span class=\""highlight\"">safe</span>? &hellip; "", ""title"": ""Using PyTorch tensors with scikit-learn""}"

tf.bitcast equivalent in pytorch?,Stack Overflow,N/A,"{""tags"": [""python"", ""numpy"", ""tensorflow"", ""pytorch""], ""question_score"": -2, ""is_accepted"": false, ""has_accepted_answer"": true, ""answer_count"": 1, ""is_answered"": true, ""question_id"": 73853956, ""item_type"": ""question"", ""score"": -2, ""last_activity_date"": 1664197565, ""creation_date"": 1664194227, ""body"": ""This question is different from tf.cast equivalent in pytorch?.\nbitcast do bitwise reinterpretation(like  in C++) instead of &quot;safe&quot; type conversion.\nThis operation is useful when you want to store bfloat16 tensor with numpy.\n\nCurrently numpy doesn&#39;t natively support bfloat16, so  will raise \n"", ""excerpt"": ""bitcast do bitwise reinterpretation(like reinterpret_cast in C++) instead of &quot;<span class=\""highlight\"">safe</span>&quot; type conversion. &hellip; This operation is useful when you want to store bfloat16 <span class=\""highlight\"">tensor</span> with numpy.\nx = torch.ones(224, 224, 3, dtype=torch.bfloat16\nx_np = bitcast(x, torch.uint8).numpy()\n\nCurrently numpy doesn&#39;t natively support &hellip; "", ""title"": ""tf.bitcast equivalent in pytorch?""}"

Creating a keras loss function by averaging MAE across groups from another column,Stack Overflow,N/A,"{""tags"": [""python"", ""pandas"", ""tensorflow"", ""keras""], ""question_score"": 1, ""is_accepted"": true, ""answer_id"": 73725206, ""is_answered"": false, ""question_id"": 73660960, ""item_type"": ""answer"", ""score"": 1, ""last_activity_date"": 1663225843, ""creation_date"": 1663211127, ""body"": ""Firstly, I would advise against using pandas directly as input to keras model, since the way keras interacts with pandas is not officially documented. For example, while I can fit the model using dataframes\n\nI got an error trying to call the model on \n\nHowever, using pandas to preprocess data then feed the underlying numpy arrays, e.g.,  and , to the model is completely fine, so I will do exactly that in my following answer.\n\nFrom your descriptions, I assume that your  and  data (both training and validation) are something like\n\nThat is,  is a dataframe of the form (only 2/80 features are used for simplicity)\n\nand  is a dataframe of the form\n\nTo start with, convert the one-hot encoded category of the samples to integer form, e.g.,\n\nThen, define an additional model input for this integer series and concatenate that with the original output. Doing so creates an output tensor containing both the prediction and the integer category.\n\nNow comes the main part, which is to write a custom loss function to calculate the grouped mae from the composite output tensor. To do so, we re-split the prediction tensor and category tensor from , then make use of TF&#39;s segmented ops, more specifically , inside the function.\n\nThe  statements are just for debugging purposes and can be safely removed later. Also, only groups that have actual samples in the batch are taken into account when calculating .\nCompiling the model with this custom loss function and fit it with a batch size of 5 gives the following printout\n\nwhich confirms the correctness of the implementation. Note that  is always ordered so that the i-th entry corresponds to group i.\nOnce training is finished, you can call the model and extract the prediction tensor as\n\n"", ""excerpt"": ""To do so, we re-split the prediction <span class=\""highlight\"">tensor</span> and category <span class=\""highlight\"">tensor</span> from y_pred, then make use of TF&#39;s segmented ops, more specifically unsorted_segment_mean, inside the function.\ndef group_mae(y_true, y_pred &hellip; Once training is finished, you can call the model and extract the prediction <span class=\""highlight\"">tensor</span> as\nmodel([x.values, x_int_cat.values])[...,:-1] &hellip; "", ""title"": ""Creating a keras loss function by averaging MAE across groups from another column""}"

Why GPU memory usage is increasing when I call a method that uses tensors already exist on GPU?,Stack Overflow,N/A,"{""tags"": [""python"", ""memory"", ""time"", ""pytorch"", ""gpu""], ""question_score"": 0, ""is_accepted"": false, ""has_accepted_answer"": false, ""answer_count"": 1, ""is_answered"": false, ""question_id"": 73686586, ""item_type"": ""question"", ""score"": 0, ""last_activity_date"": 1662978183, ""creation_date"": 1662972070, ""body"": ""Consider the following overviews of two codes in PyTorch. Dataloader and all other aspects are the same for the two codes except the , which is present in some other module.\nCode #1:\n\nCode #2:\n\nExtra class in another module\n\nWhen I run code #1, then there is a constant usage of GPU memory (say 70%). But when I run code #2, while executing the line , the memory of GPU is increasing suddenly and after the line, it is decreasing. So, I can safely infer that the line is loading many tensors into GPU memory during execution, which is causing an increase in executing time. But I am not understanding why it is happening.\nI am not using  in  of  . The  is only using the tensors that are transferred to the GPU device in  of  only. So all the transfers have to be done during object creation only ( ) if I am correct, but why the transfer is happening when I call the  on the object?\n"", ""excerpt"": ""Consider the following overviews of two codes in PyTorch. Dataloader and all other aspects are the same for the two codes except the extra_class, which is present in some other module.\nCode #1:\nmain(a &hellip; "", ""title"": ""Why GPU memory usage is increasing when I call a method that uses tensors already exist on GPU?""}"

Tensorflow Lite c++ Build,Stack Overflow,N/A,"{""tags"": [""c++"", ""tensorflow"", ""tensorflow-lite""], ""question_score"": 2, ""is_accepted"": false, ""has_accepted_answer"": false, ""answer_count"": 1, ""is_answered"": true, ""question_id"": 73610444, ""item_type"": ""question"", ""score"": 2, ""last_activity_date"": 1662454574, ""creation_date"": 1662385816, ""body"": ""I have already put a question about the access violation of the TensorFlow lite c++ API. No one answered it so far, I believe the error I made is with selecting the wrong header- and library files from the Bazel build.\nThe steps that I have done to get the Tensorflow Lite Header and Libraries are from Youtube Tutorial and from Tensorflow.\n\nGet Required Python (for me Python 3.9.5)\nInstall required Packages locally\nInstall Bazel (for me 3.7.2) and MSYS2 (after installation run ) and add it to Path\nCheck VS Build Tools 2019 for C++ (I have VS 19 Community with MSVC v142 &amp; Windows 10 SDK)\nDownload and Unzip Tensorflow Sources from Github (Release of 2.5.3)\nInside the Tensorflow Sources, use  to start configure the bazel build (I only used Yes for  , the rest is kept on the default value)\nThe I opened GitBash cmd inside the tensorflow source \nAfter a successful build later I get the &quot;bazel-bin&quot;, &quot;bazel-out&quot;, &quot;bazel-tensorflow-2.5.3&quot; and &quot;bazel-testlogs&quot; folder.\nI created the following folders tensorflow/include/tensorflow/lite &amp; core and  tensorflow/include/flatbuffers for the headers and finally the tensorflow/lib for the libraries.\nI copied the  &amp;  from the build directory (tensorflow-2.5.3\\bazel-bin\\tensorflow\\lite) into the tensorflow/lib directory together with the  (from tensorflow-2.5.3\\bazel-bin\\external\\flatbuffers\\src)\nI copied the tensorflow-2.5.3\\bazel-bin\\external\\flatbuffers\\src_virtual_includes\\flatbuffers\\flatbuffers headers into the tensorflow/include/flatbuffers directory\nI copied the tensorflow-2.5.3\\tensorflow\\lite and tensorflow-2.5.3\\tensorflow\\core from the original sources into the tensorflow/include/tensorflow/lite &amp; core directory.\n\nAfter those steps, I could create a new VS Project and add the created linker and include information. And created the following short example to read the input layer.\n\nBut I am still receiving the access violation exception inside  at\n\nWhat am I doing wrong? I dont want to build the shared library since the target (Coral Edge) has direct access to those functions (ex.  too.\n"", ""excerpt"": ""= Pre-invoke Interpreter State ===\\n&quot;);\n    tflite::PrintInterpreterState(interpreter.get());\n\n    interpreter-&gt;SetAllowFp16PrecisionForFp32(true);\n    interpreter-&gt;SetNumThreads(1);\n    // Get Input <span class=\""highlight\"">Tensor</span> &hellip; typed_input_tensor&lt;unsigned char&gt;(0);\n}\n\nBut I am still receiving the access violation exception inside interpreter.h at\n  const Subgraph&amp; primary_subgraph() const {\n    return *subgraphs_.front();  // <span class=\""highlight\"">Safe</span> &hellip; "", ""title"": ""Tensorflow Lite c++ Build""}"

"Modelling the composition of units (e.g. Inch, Dollar, etc) in Haskell",Stack Overflow,N/A,"{""tags"": [""haskell"", ""types"", ""type-systems""], ""question_score"": 2, ""is_accepted"": true, ""answer_id"": 73393851, ""is_answered"": false, ""question_id"": 73390539, ""item_type"": ""answer"", ""score"": 5, ""last_activity_date"": 1660763782, ""creation_date"": 1660763782, ""body"": ""First, let me give this opinion: IMO the type should be called , not . The constructor should be called , but the beauty of representing physical quantities with types is that the unit really becomes an “invisible” implementation detail. You could in fact use  to work with different constructors for different units of the same length type, and/or lens-isomorphism for unit conversion. But this is somewhat tangential to the question.\nThe comments have already linked to existing physical-units libraries. Using one of those would definitely be the most sensible approach for a real project.\nStephan Boyer&#39;s blog post you&#39;ve linked is definitely intriguing, however representing dimension-quotiens by general functions is really not very practical.\nI&#39;ll show something in between: still using bespoke types instead of bell&amp;whistley physical-unit ones, but anyway within a more numerics-suitable framework.\nAlready in your previous question, I pointed to the vector-space library, because  (unlike ) is a suitable abstraction for physical quantities. As you&#39;ve noticed, it only supports addition and scaling-by-real-number though, not multiplying or dividing physical quantities.\nBut the mathematical concept of vector spaces does extend to such operations as well. The Boyer blog goes in this direction: it represents  by a function . Which does make sense: what is a velocity? It&#39;s something that tells you, “if you wait for so and so long, how long will the object travel”.\nHowever,  is a way too big type, both in the sense that storing an arbitrary function is total overkill and inefficient for something that you know can also be represented by a single number, but more importantly also in that it doesn&#39;t capture the fundamental idea: a velocity is by definition a linearized function , because for sufficiently small time-deltas the motion can always be approximated by the first two Taylor terms.And it is well known that linear functions are sensibly described as matrices†. In our case, both time and length is a 1-dimensional space, so it&#39;ll be a 1&#215;1 matrix... IOW a single number again.\nThis idea of abstracting over linear functions in a type-safe manner but still having numbers/matrices as the internal representation is what I wrote the linearmap-category package for. It builds upon , but the classes turn out to become a lot uglier. Fortunately, for a simple type like yours the instances can be auto-generated: first you use  for making instances of the  classes, then there&#39;s a Template Haskell macro for also defining the linear-map etc. types.\n\nNow you can use the type combinators from , and always immediately have the vector space operations on them! As I already said, quotients correspond to linear maps. Products correspond to tensor products, which again is for the 1-dimensional case also just a newtype wrapper around a single number.\n\nIt&#39;s not really clear to me what you want the  function to do, but this would probably be implemented with .\n\n†Actually though, matrices are also often not a good representation, because they scale quadratically in the dimension of the spaces. Of course this is not relevant here.\n"", ""excerpt"": ""This idea of abstracting over linear functions in a type-<span class=\""highlight\"">safe</span> manner but still having numbers/matrices as the internal representation is what I wrote the linearmap-category package for. &hellip; Products correspond to <span class=\""highlight\"">tensor</span> products, which again is for the 1-dimensional case also just a newtype wrapper around a single number.\ntype Area = Length ⊗ Length\n\ntype PricePerArea = Area +&gt; Price\n\ncircleArea &hellip; "", ""title"": ""Modelling the composition of units (e.g. Inch, Dollar, etc) in Haskell""}"

how to modify tf.data.batchDataset,Stack Overflow,N/A,"{""tags"": [""python"", ""pandas"", ""tensorflow"", ""keras"", ""time-series""], ""question_score"": 0, ""is_accepted"": false, ""has_accepted_answer"": false, ""answer_count"": 1, ""is_answered"": false, ""question_id"": 73265043, ""item_type"": ""question"", ""score"": 0, ""last_activity_date"": 1660021943, ""creation_date"": 1659849122, ""body"": ""I&#39;m looking for a way to modify a time-based dataset obtained by merging multiple time series (window and interleave).\nTLDR;\nThe time series don&#39;t overlap, creating windows/tensors that contain NaNs.  I&#39;m looking for a way to remove them from the batch dataset, altering the batches&#39; size.\n\nMore details\nHere is an example of the data I&#39;m working with:\nEach dataset pertains to an object that sends some features&#39; values through time.\nThe objects are not necessarily online at the same time, as depicted below.\n\nBecause all objects are not present at the same time and the window is a parameter of the time series, we&#39;ll contend with &quot;incomplete&quot; tensors that contain NaNs.\nI want to remove those incomplete tensors while keeping the time-based batching; I need to ensure that all data in a batch trace back to the same point in time.\ndesired output:\n\nI can&#39;t find a good way to achieve that goal.\nDo you have any ideas to share?\nfor info, the real dataset is\n\n10&#39;s k objects\n100&#39;s features\n10 k time points\nwindow size is a parameter I&#39;m experimenting with.\n\n\nI thought of: \na- creating a layer in the model to discard any tensor that has NaNs...\nHow to conditionally and safely &quot;disappear&quot; an input from a tf.keras.layers.Layer?\nI also think it&#39;s cleaner if that type of processing is made upstream from the model itself.\nb- using map_fn to remove the incomplete tensors:\n\n\nc- clean and rebuild the batchDataset, batch by batch (make a pandas.Dataframe out of the cleaned dataset then make a batchDataset)\n\n\nd- using tf.data.experimental.dense_to_ragged_batch to force the original batchDataset into a Ragged-batchDataset then remove the &quot;incomplete&quot; tensors\n\n\n"", ""excerpt"": ""I thought of: \na- creating a layer in the model to discard any <span class=\""highlight\"">tensor</span> that has NaNs...\nHow to conditionally and safely &quot;disappear&quot; an input from a tf.keras.layers.Layer? &hellip; Ragged-batchDataset then remove the &quot;incomplete&quot; tensors\n    def Ragged_cleanBatch (aBatchedDS):\n        # \n        # cleanBatch processes the batched dataset by removing, in each batch, any innermost <span class=\""highlight\"">tensor</span> &hellip; "", ""title"": ""how to modify tf.data.batchDataset""}"

