repo_url,commit_hash,model_file_path,serialization_format,message,author,date,is_in_commit,change_status,elapsed_days
EleutherAI/gpt-neox-20b,007b5cbc9ca9d293dcfe3f96b48bec6d03d87537,model-00013-of-00046.safetensors,safetensors,"Adding `safetensors` variant of this model (#13)


- Adding `safetensors` variant of this model (a7da0652a69c0d33d6bd860fa98508c066e651f4)


Co-authored-by: Olivier Dehaene <olivierdehaene@users.noreply.huggingface.co>",Stella Biderman,2023-02-07 01:46:15,True,+,137
EleutherAI/gpt-neox-20b,007b5cbc9ca9d293dcfe3f96b48bec6d03d87537,model-00014-of-00046.safetensors,safetensors,"Adding `safetensors` variant of this model (#13)


- Adding `safetensors` variant of this model (a7da0652a69c0d33d6bd860fa98508c066e651f4)


Co-authored-by: Olivier Dehaene <olivierdehaene@users.noreply.huggingface.co>",Stella Biderman,2023-02-07 01:46:15,True,+,137
EleutherAI/gpt-neox-20b,007b5cbc9ca9d293dcfe3f96b48bec6d03d87537,model-00015-of-00046.safetensors,safetensors,"Adding `safetensors` variant of this model (#13)


- Adding `safetensors` variant of this model (a7da0652a69c0d33d6bd860fa98508c066e651f4)


Co-authored-by: Olivier Dehaene <olivierdehaene@users.noreply.huggingface.co>",Stella Biderman,2023-02-07 01:46:15,True,+,137
EleutherAI/gpt-neox-20b,007b5cbc9ca9d293dcfe3f96b48bec6d03d87537,model-00016-of-00046.safetensors,safetensors,"Adding `safetensors` variant of this model (#13)


- Adding `safetensors` variant of this model (a7da0652a69c0d33d6bd860fa98508c066e651f4)


Co-authored-by: Olivier Dehaene <olivierdehaene@users.noreply.huggingface.co>",Stella Biderman,2023-02-07 01:46:15,True,+,137
EleutherAI/gpt-neox-20b,007b5cbc9ca9d293dcfe3f96b48bec6d03d87537,model-00017-of-00046.safetensors,safetensors,"Adding `safetensors` variant of this model (#13)


- Adding `safetensors` variant of this model (a7da0652a69c0d33d6bd860fa98508c066e651f4)


Co-authored-by: Olivier Dehaene <olivierdehaene@users.noreply.huggingface.co>",Stella Biderman,2023-02-07 01:46:15,True,+,137
EleutherAI/gpt-neox-20b,007b5cbc9ca9d293dcfe3f96b48bec6d03d87537,model-00018-of-00046.safetensors,safetensors,"Adding `safetensors` variant of this model (#13)


- Adding `safetensors` variant of this model (a7da0652a69c0d33d6bd860fa98508c066e651f4)


Co-authored-by: Olivier Dehaene <olivierdehaene@users.noreply.huggingface.co>",Stella Biderman,2023-02-07 01:46:15,True,+,137
EleutherAI/gpt-neox-20b,007b5cbc9ca9d293dcfe3f96b48bec6d03d87537,model-00019-of-00046.safetensors,safetensors,"Adding `safetensors` variant of this model (#13)


- Adding `safetensors` variant of this model (a7da0652a69c0d33d6bd860fa98508c066e651f4)


Co-authored-by: Olivier Dehaene <olivierdehaene@users.noreply.huggingface.co>",Stella Biderman,2023-02-07 01:46:15,True,+,137
EleutherAI/gpt-neox-20b,007b5cbc9ca9d293dcfe3f96b48bec6d03d87537,model-00020-of-00046.safetensors,safetensors,"Adding `safetensors` variant of this model (#13)


- Adding `safetensors` variant of this model (a7da0652a69c0d33d6bd860fa98508c066e651f4)


Co-authored-by: Olivier Dehaene <olivierdehaene@users.noreply.huggingface.co>",Stella Biderman,2023-02-07 01:46:15,True,+,137
EleutherAI/gpt-neox-20b,007b5cbc9ca9d293dcfe3f96b48bec6d03d87537,model-00021-of-00046.safetensors,safetensors,"Adding `safetensors` variant of this model (#13)


- Adding `safetensors` variant of this model (a7da0652a69c0d33d6bd860fa98508c066e651f4)


Co-authored-by: Olivier Dehaene <olivierdehaene@users.noreply.huggingface.co>",Stella Biderman,2023-02-07 01:46:15,True,+,137
EleutherAI/gpt-neox-20b,007b5cbc9ca9d293dcfe3f96b48bec6d03d87537,model-00022-of-00046.safetensors,safetensors,"Adding `safetensors` variant of this model (#13)


- Adding `safetensors` variant of this model (a7da0652a69c0d33d6bd860fa98508c066e651f4)


Co-authored-by: Olivier Dehaene <olivierdehaene@users.noreply.huggingface.co>",Stella Biderman,2023-02-07 01:46:15,True,+,137
EleutherAI/gpt-neox-20b,007b5cbc9ca9d293dcfe3f96b48bec6d03d87537,model-00023-of-00046.safetensors,safetensors,"Adding `safetensors` variant of this model (#13)


- Adding `safetensors` variant of this model (a7da0652a69c0d33d6bd860fa98508c066e651f4)


Co-authored-by: Olivier Dehaene <olivierdehaene@users.noreply.huggingface.co>",Stella Biderman,2023-02-07 01:46:15,True,+,137
EleutherAI/gpt-neox-20b,007b5cbc9ca9d293dcfe3f96b48bec6d03d87537,model-00024-of-00046.safetensors,safetensors,"Adding `safetensors` variant of this model (#13)


- Adding `safetensors` variant of this model (a7da0652a69c0d33d6bd860fa98508c066e651f4)


Co-authored-by: Olivier Dehaene <olivierdehaene@users.noreply.huggingface.co>",Stella Biderman,2023-02-07 01:46:15,True,+,137
EleutherAI/gpt-neox-20b,007b5cbc9ca9d293dcfe3f96b48bec6d03d87537,model-00025-of-00046.safetensors,safetensors,"Adding `safetensors` variant of this model (#13)


- Adding `safetensors` variant of this model (a7da0652a69c0d33d6bd860fa98508c066e651f4)


Co-authored-by: Olivier Dehaene <olivierdehaene@users.noreply.huggingface.co>",Stella Biderman,2023-02-07 01:46:15,True,+,137
EleutherAI/gpt-neox-20b,007b5cbc9ca9d293dcfe3f96b48bec6d03d87537,model-00026-of-00046.safetensors,safetensors,"Adding `safetensors` variant of this model (#13)


- Adding `safetensors` variant of this model (a7da0652a69c0d33d6bd860fa98508c066e651f4)


Co-authored-by: Olivier Dehaene <olivierdehaene@users.noreply.huggingface.co>",Stella Biderman,2023-02-07 01:46:15,True,+,137
EleutherAI/gpt-neox-20b,007b5cbc9ca9d293dcfe3f96b48bec6d03d87537,model-00027-of-00046.safetensors,safetensors,"Adding `safetensors` variant of this model (#13)


- Adding `safetensors` variant of this model (a7da0652a69c0d33d6bd860fa98508c066e651f4)


Co-authored-by: Olivier Dehaene <olivierdehaene@users.noreply.huggingface.co>",Stella Biderman,2023-02-07 01:46:15,True,+,137
EleutherAI/gpt-neox-20b,007b5cbc9ca9d293dcfe3f96b48bec6d03d87537,model-00028-of-00046.safetensors,safetensors,"Adding `safetensors` variant of this model (#13)


- Adding `safetensors` variant of this model (a7da0652a69c0d33d6bd860fa98508c066e651f4)


Co-authored-by: Olivier Dehaene <olivierdehaene@users.noreply.huggingface.co>",Stella Biderman,2023-02-07 01:46:15,True,+,137
EleutherAI/gpt-neox-20b,007b5cbc9ca9d293dcfe3f96b48bec6d03d87537,model-00029-of-00046.safetensors,safetensors,"Adding `safetensors` variant of this model (#13)


- Adding `safetensors` variant of this model (a7da0652a69c0d33d6bd860fa98508c066e651f4)


Co-authored-by: Olivier Dehaene <olivierdehaene@users.noreply.huggingface.co>",Stella Biderman,2023-02-07 01:46:15,True,+,137
EleutherAI/gpt-neox-20b,007b5cbc9ca9d293dcfe3f96b48bec6d03d87537,model-00030-of-00046.safetensors,safetensors,"Adding `safetensors` variant of this model (#13)


- Adding `safetensors` variant of this model (a7da0652a69c0d33d6bd860fa98508c066e651f4)


Co-authored-by: Olivier Dehaene <olivierdehaene@users.noreply.huggingface.co>",Stella Biderman,2023-02-07 01:46:15,True,+,137
EleutherAI/gpt-neox-20b,007b5cbc9ca9d293dcfe3f96b48bec6d03d87537,model-00031-of-00046.safetensors,safetensors,"Adding `safetensors` variant of this model (#13)


- Adding `safetensors` variant of this model (a7da0652a69c0d33d6bd860fa98508c066e651f4)


Co-authored-by: Olivier Dehaene <olivierdehaene@users.noreply.huggingface.co>",Stella Biderman,2023-02-07 01:46:15,True,+,137
EleutherAI/gpt-neox-20b,007b5cbc9ca9d293dcfe3f96b48bec6d03d87537,model-00032-of-00046.safetensors,safetensors,"Adding `safetensors` variant of this model (#13)


- Adding `safetensors` variant of this model (a7da0652a69c0d33d6bd860fa98508c066e651f4)


Co-authored-by: Olivier Dehaene <olivierdehaene@users.noreply.huggingface.co>",Stella Biderman,2023-02-07 01:46:15,True,+,137
EleutherAI/gpt-neox-20b,007b5cbc9ca9d293dcfe3f96b48bec6d03d87537,model-00033-of-00046.safetensors,safetensors,"Adding `safetensors` variant of this model (#13)


- Adding `safetensors` variant of this model (a7da0652a69c0d33d6bd860fa98508c066e651f4)


Co-authored-by: Olivier Dehaene <olivierdehaene@users.noreply.huggingface.co>",Stella Biderman,2023-02-07 01:46:15,True,+,137
EleutherAI/gpt-neox-20b,007b5cbc9ca9d293dcfe3f96b48bec6d03d87537,model-00034-of-00046.safetensors,safetensors,"Adding `safetensors` variant of this model (#13)


- Adding `safetensors` variant of this model (a7da0652a69c0d33d6bd860fa98508c066e651f4)


Co-authored-by: Olivier Dehaene <olivierdehaene@users.noreply.huggingface.co>",Stella Biderman,2023-02-07 01:46:15,True,+,137
EleutherAI/gpt-neox-20b,007b5cbc9ca9d293dcfe3f96b48bec6d03d87537,model-00035-of-00046.safetensors,safetensors,"Adding `safetensors` variant of this model (#13)


- Adding `safetensors` variant of this model (a7da0652a69c0d33d6bd860fa98508c066e651f4)


Co-authored-by: Olivier Dehaene <olivierdehaene@users.noreply.huggingface.co>",Stella Biderman,2023-02-07 01:46:15,True,+,137
EleutherAI/gpt-neox-20b,007b5cbc9ca9d293dcfe3f96b48bec6d03d87537,model-00036-of-00046.safetensors,safetensors,"Adding `safetensors` variant of this model (#13)


- Adding `safetensors` variant of this model (a7da0652a69c0d33d6bd860fa98508c066e651f4)


Co-authored-by: Olivier Dehaene <olivierdehaene@users.noreply.huggingface.co>",Stella Biderman,2023-02-07 01:46:15,True,+,137
EleutherAI/gpt-neox-20b,007b5cbc9ca9d293dcfe3f96b48bec6d03d87537,model-00037-of-00046.safetensors,safetensors,"Adding `safetensors` variant of this model (#13)


- Adding `safetensors` variant of this model (a7da0652a69c0d33d6bd860fa98508c066e651f4)


Co-authored-by: Olivier Dehaene <olivierdehaene@users.noreply.huggingface.co>",Stella Biderman,2023-02-07 01:46:15,True,+,137
EleutherAI/gpt-neox-20b,007b5cbc9ca9d293dcfe3f96b48bec6d03d87537,model-00038-of-00046.safetensors,safetensors,"Adding `safetensors` variant of this model (#13)


- Adding `safetensors` variant of this model (a7da0652a69c0d33d6bd860fa98508c066e651f4)


Co-authored-by: Olivier Dehaene <olivierdehaene@users.noreply.huggingface.co>",Stella Biderman,2023-02-07 01:46:15,True,+,137
EleutherAI/gpt-neox-20b,007b5cbc9ca9d293dcfe3f96b48bec6d03d87537,model-00039-of-00046.safetensors,safetensors,"Adding `safetensors` variant of this model (#13)


- Adding `safetensors` variant of this model (a7da0652a69c0d33d6bd860fa98508c066e651f4)


Co-authored-by: Olivier Dehaene <olivierdehaene@users.noreply.huggingface.co>",Stella Biderman,2023-02-07 01:46:15,True,+,137
EleutherAI/gpt-neox-20b,007b5cbc9ca9d293dcfe3f96b48bec6d03d87537,model-00040-of-00046.safetensors,safetensors,"Adding `safetensors` variant of this model (#13)


- Adding `safetensors` variant of this model (a7da0652a69c0d33d6bd860fa98508c066e651f4)


Co-authored-by: Olivier Dehaene <olivierdehaene@users.noreply.huggingface.co>",Stella Biderman,2023-02-07 01:46:15,True,+,137
EleutherAI/gpt-neox-20b,007b5cbc9ca9d293dcfe3f96b48bec6d03d87537,model-00041-of-00046.safetensors,safetensors,"Adding `safetensors` variant of this model (#13)


- Adding `safetensors` variant of this model (a7da0652a69c0d33d6bd860fa98508c066e651f4)


Co-authored-by: Olivier Dehaene <olivierdehaene@users.noreply.huggingface.co>",Stella Biderman,2023-02-07 01:46:15,True,+,137
EleutherAI/gpt-neox-20b,007b5cbc9ca9d293dcfe3f96b48bec6d03d87537,model-00042-of-00046.safetensors,safetensors,"Adding `safetensors` variant of this model (#13)


- Adding `safetensors` variant of this model (a7da0652a69c0d33d6bd860fa98508c066e651f4)


Co-authored-by: Olivier Dehaene <olivierdehaene@users.noreply.huggingface.co>",Stella Biderman,2023-02-07 01:46:15,True,+,137
EleutherAI/gpt-neox-20b,007b5cbc9ca9d293dcfe3f96b48bec6d03d87537,model-00043-of-00046.safetensors,safetensors,"Adding `safetensors` variant of this model (#13)


- Adding `safetensors` variant of this model (a7da0652a69c0d33d6bd860fa98508c066e651f4)


Co-authored-by: Olivier Dehaene <olivierdehaene@users.noreply.huggingface.co>",Stella Biderman,2023-02-07 01:46:15,True,+,137
EleutherAI/gpt-neox-20b,007b5cbc9ca9d293dcfe3f96b48bec6d03d87537,model-00044-of-00046.safetensors,safetensors,"Adding `safetensors` variant of this model (#13)


- Adding `safetensors` variant of this model (a7da0652a69c0d33d6bd860fa98508c066e651f4)


Co-authored-by: Olivier Dehaene <olivierdehaene@users.noreply.huggingface.co>",Stella Biderman,2023-02-07 01:46:15,True,+,137
EleutherAI/gpt-neox-20b,007b5cbc9ca9d293dcfe3f96b48bec6d03d87537,model-00045-of-00046.safetensors,safetensors,"Adding `safetensors` variant of this model (#13)


- Adding `safetensors` variant of this model (a7da0652a69c0d33d6bd860fa98508c066e651f4)


Co-authored-by: Olivier Dehaene <olivierdehaene@users.noreply.huggingface.co>",Stella Biderman,2023-02-07 01:46:15,True,+,137
EleutherAI/gpt-neox-20b,007b5cbc9ca9d293dcfe3f96b48bec6d03d87537,model-00046-of-00046.safetensors,safetensors,"Adding `safetensors` variant of this model (#13)


- Adding `safetensors` variant of this model (a7da0652a69c0d33d6bd860fa98508c066e651f4)


Co-authored-by: Olivier Dehaene <olivierdehaene@users.noreply.huggingface.co>",Stella Biderman,2023-02-07 01:46:15,True,+,137
audeering/wav2vec2-large-robust-12-ft-emotion-msp-dim,c7970417b16921421a018e0e662b628ac62120e5,model.safetensors,safetensors,"Adding `safetensors` variant of this model (#5)


- Adding `safetensors` variant of this model (bd4333d2b81d94a980c50b4df7d7c6ae9e57c2f4)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Johannes Wagner,2023-11-27 05:09:14,True,+,430
bespin-global/klue-sroberta-base-continue-learning-by-mnr,5823912a84a5cd7a29413d73f38360a982cba93d,model.safetensors,safetensors,"Adding `safetensors` variant of this model (#2)


- Adding `safetensors` variant of this model (a41c669e5cfbf219d3af52c3eba83d15d78ef608)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",JaeHyeong AN,2024-04-30 11:07:00,True,+,585
jinmang2/kpfbert,dc732cc2aaa998959a2721e06ed10f98f2c51a0f,model.safetensors,safetensors,"Adding `safetensors` variant of this model (#1)


- Adding `safetensors` variant of this model (d511ceae5d061ada13a44b75d4b4c4b33d959342)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",MyungHoonJin,2024-01-08 23:35:00,True,+,472
somosnlp-hackathon-2022/t5-small-spanish-nahuatl,7b05e9eb78d2930c5284e65b3e1dce9f388667ef,model.safetensors,safetensors,"Adding `safetensors` variant of this model (#2)


- Adding `safetensors` variant of this model (0255007c6d776af0726550789963e4a14ef57287)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",María Grandury,2023-04-13 04:46:40,True,+,202
Finnish-NLP/wav2vec2-xlsr-1b-finnish-lm-v2,779ba269387e99f73af3069141972ced8f0194b1,model.safetensors,safetensors,"Adding `safetensors` variant of this model (#1)


- Adding `safetensors` variant of this model (9628a268d83a2cc1ab5b0d78fbf9606e012be8d7)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",TOIVANEN,2024-04-28 13:08:50,True,+,583
timpal0l/xlm-roberta-base-faq-extractor,8e90383fdf907fbe6611c79795f2e545a29ce966,model.safetensors,safetensors,"Adding `safetensors` variant of this model (#1)


- Adding `safetensors` variant of this model (b27054663b17c909f0e60bb2acaf9ee8f3c70590)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Tim Isbister,2023-04-05 12:28:51,True,+,194
bipin/image-caption-generator,54e1dfab00b6ed6a3179ff7dc8e7cd4785333aaa,model.safetensors,safetensors,"Adding `safetensors` variant of this model (#3)


- Adding `safetensors` variant of this model (00297d539e6a54a05e6cac5082c196334487656b)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Bipin Krishnan P,2023-07-05 04:26:49,True,+,285
bipin/malayalam-gpt2,4f8cd2cb242c91d351146cf0c31248a20aa3d138,model.safetensors,safetensors,"Adding `safetensors` variant of this model (#1)


- Adding `safetensors` variant of this model (c75464e5facd981105de0c2557583a56f217570a)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Bipin Krishnan P,2023-07-05 04:27:32,True,+,285
yangheng/deberta-v3-large-absa-v1.1,3ea8f1ab75393aa23a81bdae1c5642961c18b350,model.safetensors,safetensors,"Adding `safetensors` variant of this model (#1)


- Adding `safetensors` variant of this model (5eed098e6e07fe59cc584456c818d1dde3d9d168)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",HENG YANG,2023-09-09 14:58:29,True,+,351
yangheng/deberta-v3-base-absa-v1.1,522e043e7417464fbfecc2ca9c84895b62c931ab,model.safetensors,safetensors,"Adding `safetensors` variant of this model (#4)


- Adding `safetensors` variant of this model (d36a6ddb946b5fdcfd741130011d170c1189f5c2)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",HENG YANG,2023-09-09 14:58:09,True,+,351
microsoft/resnet-50,34c2154c194f829b11125337b98c8f5f9965ff19,model.safetensors,safetensors,"Adding `safetensors` variant of this model (#4)


- Adding `safetensors` variant of this model (1cc4b4d7b5e8e3322670bd55882b5e51013f940a)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Niels Rogge,2024-02-13 16:24:05,True,+,508
microsoft/resnet-18,f45a6faa12e0381f5620c5c8d7e916bca90f2c44,model.safetensors,safetensors,"Adding `safetensors` variant of this model (#2)


- Adding `safetensors` variant of this model (82f42eb8d95bdc3ca8d2b098c499b8817a3bca97)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Niels Rogge,2023-05-08 07:19:40,True,+,227
pritamdeka/BioBert-PubMed200kRCT,73ac04efdc8a89e33c98950dedb72a523a7627eb,model.safetensors,safetensors,"Adding `safetensors` variant of this model (#1)


- Adding `safetensors` variant of this model (39b072a4c687d53a555800b152e76b818bc72943)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Pritam Deka,2023-03-24 05:56:58,True,+,182
ctheodoris/Geneformer,61f15d2966d2e3a942211398eba8e22fdfee592b,model.safetensors,safetensors,"Adding `safetensors` variant of this model (#209)


- Adding `safetensors` variant of this model (bd3f711401ac83e1a40b9e1bd72fe294e191073e)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Christina Theodoris,2023-08-09 18:13:56,True,+,320
TahaDouaji/detr-doc-table-detection,f0cf3abdc39f8e61c059b3f54b1b55596c7a9460,model.safetensors,safetensors,"Adding `safetensors` variant of this model (#9)


- Adding `safetensors` variant of this model (7f78b98efacb606d69fcabcc5779705c4e7ec088)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Taha Douaji,2024-04-12 07:40:21,True,+,567
AiLab-IMCS-UL/lvbert,79c5ec4db222392bbfa09d9455d3f71e1cd7f69d,model.safetensors,safetensors,"Adding `safetensors` variant of this model (#1)


- Adding `safetensors` variant of this model (18d6afd88a932c83ee43c07441bf159790ca3364)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Arturs Znotins,2024-05-01 15:47:37,True,+,586
microsoft/tapex-large-finetuned-wtq,e7073dd4c5fcf2fe92c4c660c953575d6de2d1a6,model.safetensors,safetensors,"Adding `safetensors` variant of this model (#1)


- Adding `safetensors` variant of this model (054b2b04fb45e4863c0682a76f43a850666d0969)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Qian Liu,2024-01-12 06:26:01,True,+,476
GermanT5/t5-efficient-gc4-german-base-nl36,c12cee972f5f537d007fc0b8914fbda3a0608a94,model.safetensors,safetensors,"Adding `safetensors` variant of this model (#1)


- Adding `safetensors` variant of this model (2c85fc57c8f161c16a423d2e8fc751d8a954298a)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Philip May,2023-06-22 08:34:09,True,+,272
pritamdeka/PubMedBert-PubMed200kRCT,6912244a59192339d1406ae00b07c831a406592c,model.safetensors,safetensors,"Adding `safetensors` variant of this model (#1)


- Adding `safetensors` variant of this model (3cad5e43c3f844daf71c03b2521170dd29964775)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Pritam Deka,2023-03-21 06:01:07,True,+,179
yoshitomo-matsubara/bert-large-uncased-sst2,e5e73e66e458991df009e62d060e64500cd81199,model.safetensors,safetensors,"Adding `safetensors` variant of this model (#1)


- Adding `safetensors` variant of this model (550561b3200a10e05efee671f1bef91e692defbf)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Yoshitomo Matsubara,2023-11-05 17:03:48,True,+,408
yoshitomo-matsubara/bert-large-uncased-rte,fa963b345775bd0f219b2fa4818c9d2343b629bb,model.safetensors,safetensors,"Adding `safetensors` variant of this model (#1)


- Adding `safetensors` variant of this model (bc7b78b885c8ae629604b244b4650825077630fe)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Yoshitomo Matsubara,2023-11-05 17:04:31,True,+,408
yoshitomo-matsubara/bert-large-uncased-mrpc,171618de07c1214e03fa1e719cc1aa44d981b076,model.safetensors,safetensors,"Adding `safetensors` variant of this model (#1)


- Adding `safetensors` variant of this model (b4ada59ca842a6642e27938fa299bbc6c04976b7)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Yoshitomo Matsubara,2023-11-05 17:03:30,True,+,408
yoshitomo-matsubara/bert-large-uncased-mnli,8b433fbbf794e442c213a872cb2c9886edfd9e01,model.safetensors,safetensors,"Adding `safetensors` variant of this model (#1)


- Adding `safetensors` variant of this model (e22c89490dbbce7f4c0956d2c5b5445855ae0546)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Yoshitomo Matsubara,2023-11-05 17:04:15,True,+,408
yoshitomo-matsubara/bert-base-uncased-stsb,3e30bbeb19ba336bd40af4253daa7d3ebd5772b5,model.safetensors,safetensors,"Adding `safetensors` variant of this model (#1)


- Adding `safetensors` variant of this model (95f0b80a1894429c61dcf48b85a3f36e93ba86fb)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Yoshitomo Matsubara,2023-11-05 17:04:03,True,+,408
w11wo/indonesian-roberta-base-posp-tagger,ca0d6a6320a908f1ade3e0acd0ab8f9270c5e00e,model.safetensors,safetensors,"Adding `safetensors` variant of this model (#1)


- Adding `safetensors` variant of this model (3cbdc5c08abdbcb5b948dce9e8da6293d187a2fa)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Wilson Wongso,2023-03-21 03:12:08,True,+,179
vicgalle/xlm-roberta-large-xnli-anli,233b73ab08f6c1f658224b27bb35986e9b5df220,model.safetensors,safetensors,"Adding `safetensors` variant of this model (#1)


- Adding `safetensors` variant of this model (11fbcd3a7ba83f2aff111c570e48e21ae4d5b506)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Victor Gallego,2023-03-21 05:06:49,True,+,179
vesteinn/XLMR-ENIS-finetuned-ner,8dc5d8842fbc0556e6636e438f61f793b536efda,model.safetensors,safetensors,"Adding `safetensors` variant of this model (#2)


- Adding `safetensors` variant of this model (1e39f932ca2bd907d1396bf7d1d3ee6588487194)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Vésteinn Snæbjarnarson,2023-06-25 08:59:41,True,+,275
vesteinn/XLMR-ENIS-finetuned-cola,fc8842ca2295ebd3e86417176e2cb52a40412508,model.safetensors,safetensors,"Adding `safetensors` variant of this model (#3)


- Adding `safetensors` variant of this model (9acf1e28f873015512df9b4251e04fc90e1d73c6)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Vésteinn Snæbjarnarson,2023-07-05 07:43:26,True,+,285
unitary/toxic-bert,4d6c22e74ba2fdd26bc4f7238f50766b045a0d94,model.safetensors,safetensors,"Adding `safetensors` variant of this model (#8)


- Adding `safetensors` variant of this model (2b3516c161676f99ad536f47c421f22a1a415154)


Co-authored-by: Can Koecher <ckoecher@users.noreply.huggingface.co>",Unitary,2024-03-13 13:41:49,True,+,537
unicamp-dl/ptt5-base-t5-vocab,abd04de01e2f3446095ba774de6ef0fd1d3f48d3,model.safetensors,safetensors,"Adding `safetensors` variant of this model (#1)


- Adding `safetensors` variant of this model (65943f52f70d064f5e5824e480caecfda6147dd9)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Marcos Piau Vieira,2024-04-10 11:20:23,True,+,565
unicamp-dl/ptt5-base-portuguese-vocab,cf47201107bcc0ccf5dc025d4e88c39355933d71,model.safetensors,safetensors,"Adding `safetensors` variant of this model (#1)


- Adding `safetensors` variant of this model (7792909581f95c602fa63807d42411a0254cc055)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Marcos Piau Vieira,2024-04-10 11:19:54,True,+,565
ufal/robeczech-base,78951633405e1161fa168549352ab6a468a170fd,model.safetensors,safetensors,"Adding `safetensors` variant of this model (#3)


- Adding `safetensors` variant of this model (06c409bb7898757f2730437fb50ba82648e8f254)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Milan Straka,2023-03-24 04:37:43,True,+,182
timm/eca_nfnet_l0,be75922753404e117f78aded785135c04c7093c7,model.safetensors,safetensors,"Adding `safetensors` variant of this model (#1)


- Adding `safetensors` variant of this model (d7affb2b3642cc928acdddec7e36ba21bf1a62cc)


Co-authored-by: Lucain Pouget <Wauplin@users.noreply.huggingface.co>",Ross Wightman,2024-02-10 18:05:15,True,+,505
tartuNLP/EstBERT_NER,8cad68bcefb5ddcb19884fcef109f52d6051ff1e,model.safetensors,safetensors,"Adding `safetensors` variant of this model (#1)


- Adding `safetensors` variant of this model (87e58fd7c2e5d2e6898a2d052954d9839e363934)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Aleksei Dorkin,2023-08-01 06:35:48,True,+,312
tartuNLP/EstBERT,3574a042d840b092556a5557e97ee426c7409fcd,model.safetensors,safetensors,"Adding `safetensors` variant of this model (#1)


- Adding `safetensors` variant of this model (f708e4656fc45f0e535f9833c97030fd67d7e539)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Aleksei Dorkin,2023-09-12 04:44:15,True,+,354
surajp/SanBERTa,3f78bf0aff1d8dbf39f063bcb862bdec49611baf,model.safetensors,safetensors,"Adding `safetensors` variant of this model (#1)


- Adding `safetensors` variant of this model (27497980dfb5cbfde8e2f4fd50475ddeedc260bf)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Suraj Parmar,2023-08-11 22:29:14,True,+,322
sonoisa/t5-base-japanese-article-generation,388f0e860177b242a2bf9d10df1212ed6b097046,model.safetensors,safetensors,"Adding `safetensors` variant of this model (#1)


- Adding `safetensors` variant of this model (e625d91fa4f4672ac154d3115795a977019384fd)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Isao Sonobe,2024-04-17 07:39:12,True,+,572
